type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
W,48.278342400,8.850707000,515.4,,,,"48.2783424,8.850707","Balingen(Württ), 72336 Balingen, Deutschland"
W,48.278342300,8.850724900,515.4,,,,"48.2783423,8.8507249","Balingen(Württ), 72336 Balingen, Deutschland"

type,latitude,longitude,altitude (m),slope (%),distance (km),distance_interval (m),name,desc
T,48.278340000,8.850720000,515.4,,0.000,,Balingen(Württ) - Balingen(Württ),"4.5 km, 0:11"
T,48.277880000,8.850730000,515.1,-0.5,0.051,51.16,,
T,48.277880000,8.850730000,515.1,,0.051,0.00,,
T,48.277900000,8.850820000,515.0,-1.6,0.058,7.04,,
T,48.277900000,8.850980000,515.0,-0.2,0.070,11.88,,
T,48.277900000,8.850980000,515.0,,0.070,0.00,,
T,48.277770000,8.851060000,515.0,0.0,0.086,15.63,,
T,48.277620000,8.851070000,515.0,0.0,0.102,16.70,,
T,48.276420000,8.851270000,515.0,0.0,0.237,134.26,,
T,48.276320000,8.851290000,515.0,-0.4,0.248,11.22,,
T,48.276240000,8.851270000,515.0,0.0,0.257,9.02,,
T,48.276060000,8.851300000,514.9,-0.3,0.277,20.14,,
T,48.276060000,8.851300000,514.9,,0.277,0.00,,
T,48.276050000,8.851270000,514.9,-1.4,0.280,2.49,,
T,48.276040000,8.851260000,514.9,-1.9,0.281,1.34,,
T,48.276020000,8.851250000,514.8,-1.9,0.283,2.34,,
T,48.276000000,8.851240000,514.8,-2.1,0.286,2.34,,
T,48.275980000,8.851240000,514.7,-1.8,0.288,2.22,,
T,48.275960000,8.851250000,514.7,-0.8,0.290,2.34,,
T,48.275940000,8.851260000,514.7,-0.6,0.292,2.34,,
T,48.275930000,8.851270000,514.7,0.5,0.294,1.34,,
T,48.275910000,8.851300000,514.8,1.5,0.297,3.15,,
T,48.275900000,8.851330000,514.8,2.9,0.299,2.49,,
T,48.275900000,8.851370000,514.9,3.7,0.302,2.97,,
T,48.275910000,8.851420000,515.1,3.4,0.306,3.87,,
T,48.275910000,8.851430000,515.1,3.5,0.307,0.74,,
T,48.275920000,8.851450000,515.2,2.4,0.309,1.85,,
T,48.275930000,8.851470000,515.2,2.1,0.311,1.85,,
T,48.275940000,8.851480000,515.2,0.9,0.312,1.34,,
T,48.275950000,8.851490000,515.2,0.7,0.313,1.34,,
T,48.275980000,8.852070000,515.9,1.7,0.357,43.18,,
T,48.276010000,8.852190000,515.7,-2.3,0.366,9.51,,
T,48.276020000,8.852360000,515.2,-4.5,0.379,12.67,,
T,48.276050000,8.852660000,512.5,-11.7,0.401,22.52,,
T,48.276030000,8.852970000,509.2,-14.4,0.424,23.12,,
T,48.276010000,8.853110000,507.9,-11.9,0.435,10.63,,
T,48.276000000,8.853220000,506.9,-11.9,0.443,8.24,,
T,48.275990000,8.853250000,506.7,-8.4,0.446,2.49,,
T,48.275980000,8.853310000,506.2,-11.8,0.450,4.59,,
T,48.275960000,8.853370000,506.0,-3.5,0.455,4.98,,
T,48.275920000,8.853540000,505.9,-1.1,0.469,13.38,,
T,48.275920000,8.853540000,505.9,,0.469,0.00,,
T,48.275880000,8.853590000,505.9,0.5,0.474,5.79,,
T,48.275840000,8.853640000,506.0,1.5,0.480,5.79,,
T,48.275700000,8.853870000,506.5,2.3,0.503,23.10,,
T,48.275630000,8.853990000,507.1,4.9,0.515,11.83,,
T,48.275380000,8.854320000,509.0,5.1,0.552,37.05,,
T,48.275320000,8.854390000,509.5,6.5,0.561,8.46,,
T,48.275080000,8.854750000,511.8,6.0,0.598,37.77,,
T,48.275040000,8.854820000,512.2,5.8,0.605,6.84,,
T,48.274980000,8.854890000,512.5,3.5,0.614,8.46,,
T,48.274270000,8.855770000,514.9,2.3,0.716,102.47,,
T,48.274220000,8.855830000,515.0,1.9,0.723,7.12,,
T,48.274020000,8.856150000,515.7,2.3,0.756,32.54,,
T,48.274020000,8.856150000,515.7,,0.756,0.00,,
T,48.273700000,8.856100000,517.3,4.5,0.792,35.78,,
T,48.273590000,8.856100000,518.0,5.3,0.804,12.23,,
T,48.273420000,8.856040000,518.0,0.0,0.823,19.42,,
T,48.273320000,8.856010000,518.0,-0.3,0.835,11.34,,
T,48.273120000,8.855960000,517.6,-1.4,0.857,22.55,,
T,48.272810000,8.855870000,517.1,-1.6,0.892,35.11,,
T,48.272700000,8.855820000,517.2,1.0,0.905,12.78,,
T,48.272640000,8.855730000,517.1,-1.1,0.915,9.44,,
T,48.272390000,8.855590000,517.5,1.2,0.944,29.68,,
T,48.272340000,8.855560000,517.6,1.9,0.950,5.99,,
T,48.272240000,8.855500000,517.9,2.8,0.962,11.98,,
T,48.272190000,8.855470000,518.0,1.9,0.968,5.99,,
T,48.272160000,8.855440000,518.1,1.4,0.972,4.01,,
T,48.272050000,8.855320000,518.5,2.9,0.987,15.13,,
T,48.271770000,8.855000000,519.0,1.2,1.027,39.16,,
T,48.271770000,8.855000000,519.0,,1.027,0.00,,
T,48.271250000,8.854520000,519.0,0.0,1.094,67.92,,
T,48.271170000,8.854440000,519.0,-0.2,1.105,10.70,,
T,48.271120000,8.854400000,518.8,-2.3,1.111,6.30,,
T,48.270910000,8.854220000,518.1,-2.9,1.138,26.90,,
T,48.270170000,8.853680000,516.3,-1.9,1.230,91.53,,
